combo,replication,week,price,sales,remain_invent
0,0,1,60,82,1918.0
0,0,2,60,93,1825.0
0,0,3,60,76,1749.0
0,0,4,60,62,1687.0
0,0,5,60,81,1606.0
0,0,6,60,110,1496.0
0,0,7,60,115,1381.0
0,0,8,60,76,1305.0
0,0,9,60,112,1193.0
0,0,10,60,113,1080.0
0,0,11,60,55,1025.0
0,0,12,60,104,921.0
0,0,13,60,69,852.0
0,0,14,60,89,763.0
0,0,15,60,70,693.0
0,0,16,78420,100662,0.220957262919473
0,1,1,60,122,1878.0
0,1,2,60,149,1729.0
0,1,3,60,103,1626.0
0,1,4,60,166,1460.0
0,1,5,60,123,1337.0
0,1,6,60,123,1214.0
0,1,7,60,165,1049.0
0,1,8,60,69,980.0
0,1,9,60,86,894.0
0,1,10,60,136,758.0
0,1,11,60,78,680.0
0,1,12,60,96,584.0
0,1,13,60,101,483.0
0,1,14,60,151,332.0
0,1,15,60,129,203.0
0,1,16,107820,114636,0.0594577619595938
1,0,1,60,68,1932.0
1,0,2,60,53,1879.0
1,0,3,60,49,1830.0
1,0,4,60,83,1747.0
1,0,5,60,80,1667.0
1,0,6,60,98,1569.0
1,0,7,60,88,1481.0
1,0,8,60,96,1385.0
1,0,9,60,52,1333.0
1,0,10,60,113,1220.0
1,0,11,60,68,1152.0
1,0,12,60,58,1094.0
1,0,13,60,14,1080.0
1,0,14,60,47,1033.0
1,0,15,54,108,925.0
1,0,16,63852,90000,0.2905333333333333
1,1,1,60,113,1887.0
1,1,2,60,79,1808.0
1,1,3,60,93,1715.0
1,1,4,60,163,1552.0
1,1,5,60,132,1420.0
1,1,6,60,70,1350.0
1,1,7,60,126,1224.0
1,1,8,60,78,1146.0
1,1,9,60,67,1079.0
1,1,10,60,138,941.0
1,1,11,60,126,815.0
1,1,12,60,53,762.0
1,1,13,60,68,694.0
1,1,14,60,105,589.0
1,1,15,54,156,433.0
1,1,16,93084,107472,0.1338767306833408
2,0,1,60,133,1867.0
2,0,2,60,129,1738.0
2,0,3,60,142,1596.0
2,0,4,60,120,1476.0
2,0,5,60,114,1362.0
2,0,6,60,101,1261.0
2,0,7,60,128,1133.0
2,0,8,60,100,1033.0
2,0,9,60,154,879.0
2,0,10,60,141,738.0
2,0,11,60,158,580.0
2,0,12,60,158,422.0
